input_bod,input_cod,input_heavy_metals,input_virus,input_bacteria,pH,temperature,flow_rate,biofilter_media,filter_age,output_bod,output_cod,output_heavy_metals,output_virus,output_bacteria,recommended_biofilter
312.2,303.6,0.043,26,7782,8.93,23.3,3.04,gravel,23,108.8,97.7,0.014,4,1879,Compost Biofilter
669.4,696.1,0.041,225,2048,6.84,39.2,9.38,gravel,25,232.5,237.1,0.005,35,604,Trickling Biofilter
533.8,1060.2,0.136,133,9307,8.21,37.0,9.18,woodchips,52,125.8,308.0,0.04,15,1365,Advanced Bio-scrubber
451.2,905.4,0.041,291,8905,6.7,37.3,8.03,activated carbon,82,164.7,225.1,0.007,88,2267,Trickling Biofilter
176.7,987.2,0.044,102,6578,7.7,28.1,1.17,activated carbon,83,45.1,370.7,0.005,22,773,Trickling Biofilter
176.7,824.7,0.115,198,2620,6.17,35.2,3.94,biochar,90,68.2,287.5,0.022,53,462,Trickling Biofilter
116.0,861.5,0.07,229,7548,6.01,22.9,6.65,biochar,21,31.7,327.3,0.012,67,1520,Advanced Bio-scrubber
617.0,1034.1,0.118,143,8381,8.78,20.2,3.48,activated carbon,79,229.2,376.1,0.031,56,1289,Advanced Bio-scrubber
452.7,374.6,0.014,132,5780,8.71,20.4,9.19,activated carbon,28,114.6,149.1,0.003,16,1190,Compost Biofilter
519.0,638.4,0.076,31,4792,8.61,31.7,6.71,woodchips,50,157.2,152.2,0.03,7,1325,Advanced Bio-scrubber
92.8,343.3,0.01,145,3941,7.69,29.1,1.65,gravel,62,20.5,74.6,0.004,25,1139,Compost Biofilter
681.3,1186.4,0.014,72,6695,8.33,30.4,9.18,gravel,38,226.2,317.2,0.003,17,804,Trickling Biofilter
596.1,1138.5,0.136,159,7401,5.74,20.1,9.62,biochar,79,218.9,257.1,0.046,60,1142,Advanced Bio-scrubber
211.7,143.4,0.025,116,7197,6.67,28.5,1.7,activated carbon,68,72.8,43.7,0.003,37,2129,Compost Biofilter
192.7,876.1,0.082,24,6450,6.6,34.4,5.79,woodchips,98,58.7,286.1,0.022,7,994,Trickling Biofilter
193.7,1117.8,0.065,76,9975,7.72,28.9,3.73,biochar,73,40.5,352.8,0.021,18,2379,Trickling Biofilter
268.6,298.6,0.055,88,9432,6.75,34.6,4.54,woodchips,33,103.9,75.2,0.009,27,1421,Trickling Biofilter
405.3,724.7,0.135,137,6874,6.02,24.7,2.62,activated carbon,98,138.2,276.7,0.016,15,1177,Trickling Biofilter
347.8,1107.0,0.008,78,2553,7.59,36.3,6.2,activated carbon,25,121.4,226.1,0.001,22,353,Compost Biofilter
260.6,137.3,0.101,52,2012,8.35,31.8,9.62,activated carbon,61,93.5,37.0,0.023,14,546,Compost Biofilter
459.3,867.2,0.145,69,9378,6.84,24.2,5.53,gravel,89,160.5,298.1,0.037,14,2593,Trickling Biofilter
166.5,427.1,0.086,38,2881,5.96,24.7,1.75,activated carbon,15,48.0,150.9,0.018,6,459,Trickling Biofilter
261.1,1116.8,0.141,233,7799,6.19,32.6,6.58,biochar,46,90.5,316.3,0.033,80,2065,Advanced Bio-scrubber
